building_id,name_jp,effect,price_yen,notes,confidence
unit_lab,兵玉研究所,兵玉研究等級上限+? 最高Lv5,,解鎖高級兵種；攻略共識:優先建,效果=確認/數值待實測
tactic_lab,戦術研究所,戰術研究等級上限+? 最高Lv5,,解鎖高級戰術,同上
wall,県壁,防守時提供高耐久屏障,,耐久推定4500；可被壁之術/繕玉修復,耐久=推定
cannon,県砲,防守時自動砲擊,,可被繕玉修復,待實測
hospital,病院,駐軍持續回血,,,待實測
support,支援砲台,由該地出擊時提供跨地砲擊支援,,早解(速通)關鍵建築[確認],效果=確認
prison,捕虜収容所,防守擊殺敵兵獲得金錢,,收入含5円端數[確認]→金額非50倍數,確認
grave,墓地,週期產出骨玉,,攻略社群評為地雷建築,確認
brainwash,洗脳施設,防守擊殺時機率策反敵兵為己方,,機率推定15%；收服怪異生物的唯一手段[確認],機率=推定
summon,大玉召喚陣,第15/30/45日各召喚1隻大玉,,"共3隻上限[確認,T-Links]",確認
